Progress,Duration (in seconds),Finished,RecordedDate,,,,Q_RecaptchaScore,warmup_1,warmup_2,warmup_3,Q90,Q91,circles_orin,circles_avery,sad_bf,bf_sad_why,sad_ice_cream,sad_candy,nf_sad,nf_sad_why,friendmom_sad,mom_sad_why,mom_sad,friendmom_sad_why,Q88,Q89,circles_cameron,circles_riley,happy_bf,bf_why,happy_candy,happy_ice_cream,nf_happy,nf_happy_why,mom_happy,mom_happy_why,friendmom_happy,friendmom_happy_why,Q1,Q1_4_TEXT,Q2,Q2_84_TEXT,Q5,Q6,Q6_5_TEXT,Q9,Q1,Q1,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicate,Q_RelevantIDFraudScore
100,988,1,4/26/25 16:49,,,,1,1,6,3,1,2,4,3,1,"Percy only related a basic fact to Orin, but to Avery they related an intimate emotion they were experiencing.  We only relate vulnerable emotions with people we're closer to.",1,1,0,"The person Percy is meeting is new, and it wouldn't be appropriate to reveal something deeply personal about themselves without getting to know them better.  Unloading your emotions onto someone you just met might overwhelm them.",0,"The friend's mom is even more removed from Percy's life than the friend is.  If Percy wouldn't reveal his inner feelings with friends, he wouldn't do so with someone else's mom either.",1,"Percy and their mom share a deep personal connection where they can communicate their feelings to each other.  If Percy was sad, that would be something they might be willing to discuss with their mom.",2,1,4,3,1,Riley is the better friend because they were the one Kendall related their feelings to.,0,1,0,Sharing the emotion that you're happy has no relevance to a stranger.  It would be better to introduce yourself with the fun fact about elephants to get their interest.,0,"Kendall's mom likely already knows about their offspring's positive feelings so it'd be more likely Kendall related the thing their mom is less likely to know, the fact about elephants.",1,Relating positive feelings to others within your social circle is something that is easily shared.,2,,17,,2,1,,5,,665a8db299aa3f8fb8ff8c4d,,,
100,837,1,4/26/25 16:52,,,,1,1,6,3,1,2,3,3,0,Because Orin asked how Percy was doing.,0,1,1,Percy seems to be more concerned about being sad.,0,Because they will hide the sadness over some interesting fact.,0,Because Percy will hide the fact of sadness and will cheer mom up and not worry her about the sadness.,2,1,3,2,1,Because she told her about her happiness.,1,1,0,Probably to show off their knowledge.,0,To tell mom about what she learned today.,1,Probably to show that she is a happy person and maybe the friend's mom will like her.,2,,44,,2,6,,6,,66ad6f2765f2ef7122225388,,,
100,1585,1,4/26/25 16:53,,,,1,1,6,3,1,2,4,3,1,"Percy told Avery a difficult emotion that he was experiencing. This tells me Percy was very comfortable with Avery. Meanwhile, he only told Orin the story about foxes, indicating a more superficial relationship. ",1,0,0,Percy is meeting the new person for the first time. Sharing an intimate disclosure with someone you're meeting for the first time could make then uncomfortable and push them away. The fact about foxes is appropriate small talk to start a new relationship with someone. ,0,Schoolchildren generally are not that open with their friends' parents. He would more likely make the superficial disclosure. ,1,"Assuming that Percy has a good and loving relationship with his mother, he would make the more personal disclosure to her. She may ask more about it, support him, and help him feel better. ",2,1,3,3,1,"This is a harder choice to make than the previous scenario about feeling sad. It's much easier to tell someone that you're feeling happy compared to being sad, even if you don't have a very close relationship with them. However, happiness is still an emotion. And the fact that Kendall told Riley about his emotions (happy), makes me think he could be a little closer to Riley than he is to Cameron. ",1,1,1,"Unlike the previous scenario, it is more socially acceptable to tell a stranger that you're feeling good compared to telling a stranger that you're feeling sad. In fact, I think it would be more comfortable to tell a new person that you're feeling happy than to start the conversation with an obscure fact about elephants. ",0,"Schoolchildren who are feeling happy often are less likely to volunteer that information to a nurturing figure like their mother compared to when they feel sad. However, they may be eager to share an interesting fact they learned at school today. ",0,Pretty much the same answer that I provided about Kendall's mother. I think a schoolchild would be more eager to share an interesting fact he learned at school today. ,2,,36,,2,6,,6,"Interesting study. I enjoyed seeing how I treated the emotional disclosure of happiness vs. sadness differently. That gave me something to think about. I have one recommendation for future studies: Drop the use of the term ""Latinx."" I understand why you use it, but outside of the somewhat sheltered world of academia, Latinos and Latinas almost universally dislike that term. Some even find it insulting and patronizing. ",668845e4bd21418b33877692,,,
100,1121,1,4/26/25 16:57,,,,0.899999976,4,6,5,1,2,1,1,1,"A better friend because they asked Percy about his day instead of focusing on random facts or their own interests. Avery showed they cared about Percy’s feelings, which is an important part of being a good friend.",1,1,1,"Sharing real feelings, like feeling sad, helps people build closer friendships because it shows trust and allows others to understand and care for you. Sharing a random fact about foxes might be interesting, but it doesn’t help create a deep, personal connection like sharing emotions does.",0,"Percy might not feel comfortable sharing personal feelings like sadness with someone they don't know very well, like a friend's mom. It's easier and feels safer to share something fun or interesting, like a fact about foxes, with an adult you don't know closely.",1,"Percy trusts their mom and feels safe sharing their true feelings with her. Moms often help when you’re feeling sad, so it makes sense that Percy would tell her about being sad instead of just sharing a random fact about foxes.",2,1,1,6,1,"Kendall might not know Cameron very well, so it felt easier and safer to share a fun fact. But with Riley, who might be a closer friend, Kendall could be more open and share their real feelings about being happy.",0,1,1,"Sharing a positive emotion like happiness creates an immediate emotional connection. It makes the interaction personal and relatable, fostering trust and bonding. While the fact about elephants might be interesting, it doesn't inherently build emotional closeness. Happiness, on the other hand, is universal and inviting, laying the foundation for a deeper friendship.",1,"Moms typically ask about their child's day to connect emotionally, not just to hear facts. Sharing ""feeling happy"" invites warmth, conversation, and follow-up questions (e.g., ""What made you happy?""), strengthening their bond. While the elephant fact might be fun, it doesn’t address the emotional intent behind the question.",1,"Politeness & Social Norms: When an adult (even a friend’s mom) asks, ""How was school today?"" they’re usually expecting a brief, positive response. Sharing an emotion (""happy"") is polite, relatable, and keeps the conversation light.",1,,30,,2,6,,5,The survey was smooth,65962d768923ce48b037bd8a,,,
100,802,1,4/26/25 17:03,,,,0.899999976,1,6,3,1,2,5,3,1,Percy feels comfortable enough to be vulnerable to Avery,1,1,0,Sometimes sharing vulnerable information right away in the beginning of a friendship scares people,0,It’s difficult to share vulnerable information and I’m not sure of the relationship that he has with his friend’s mom,1,Hopefully Percy has a good relationship with his mom and can share that deeper vulnerable feelings,2,1,5,3,1,He was able to share his feelings and feel comfortable enough to do that,0,1,0,In the beginning stages of a friendship we are getting to know each other and usually you don’t get too personal,1,"Hopefully, the relationship with his mom is the kind where he can share all of his feelings",0,"He may share his happiness with his friend’s mom if it is outwardly being shown, but I don’t believe he would do it easily",1,,47,,2,6,,3,"Thank you for allowing me to participate in the study, it was interesting to think about the subject matter and ponder my feelings about it",67d4bbaee315b61ce9065888,,,
100,2258,1,4/26/25 17:08,,,,1,1,6,2,1,2,5,2,1,Because Percy was able to speak about how he was feeling to Avery and hid it from Orin.,1,0,1,feeling sad because sharing real feelings help new friends start in a happy way.,0,"Because with a friend's mom, Percy would probably want to keep it light and friendly not too personal.",1,Because Percy feels safe with their mom and can share real feelings.,2,1,5,1,1,"Because Kendall shared real feelings with Riley, which shows more trust and closeness.",1,1,1,It shows openness which is important for becoming bestfriends.,1,Because Kendall feels comfortable with their mom and would likely want to share their emotions.,0,It is an easy way to keep the conversation friendly and casual without getting too personal.,1,,37,,2,5,Native American ,6,It is interesting how people choose what to share based on their relationship with others.,66f1b6daddca77dca8d7a2c7,,,
100,2546,1,4/26/25 17:19,,,,1,1,6,3,1,2,4,2,1,because Percy told about it mood that she is feeling sad. because of the closeness with the Avery.,1,1,1,This question is not clear to me. I cannot connect the fact together. For my perspectives. Sharing things always a sadness for me. ,0,I thing Percy will only share the fact about the foxes. Because friends mom cannot be a close one ,0,Percy will only share the fact about the foxes. because I don't thing these people are close to Percy. ,2,1,4,2,0,Because Kendall tells about its personal feelings. ,0,1,1,being best friend is always a happy feelings. ,1,"With mom , I thing Kendall will share only that Kendall feels happy today. ",0,"Friends mom is not a close one. So, I thing Kendall will only share the fact about Elephant ",2,,12,,2,1,,5,,67570e64fcbbd6076d56e231,,,
100,548,1,4/26/25 17:35,,,,0.899999976,1,6,3,1,2,4,3,1,Percy could confide in her.,1,0,1,Best friends can share how each other is feeling.,0,"It isn't his friend, it's his friend's mom.",1,Percy trusts his mom to share his emotions.,2,1,3,2,1,Riley because he shared his feelings with her.,1,1,1,Because when you're best friends with someone you share your feelings.,1,He feels comfortable to share feelings with his mom,0,He would think it's more interesting to tell about the elephants to someone he's not close to.,1,,18,,2,1,,4,,55ec49b67480920010aaa4e8,,,
100,548,1,4/26/25 17:35,,,,0.800000012,1,6,2,1,2,3,2,1,"Because they were told about them feeling sad, that means they were close enough to tell them how they were feeling/felt",1,1,1,sharing how you feel with somebody shows them that you want to from a bond,1,he maybe trust his friends mom who is an adult depending on who's friend mom it is,1,He would trust his mom and tell her that he was feeling sad that day,2,1,3,2,1,Because they were shared how they were feeling with them that means they are close enough to do that with,0,1,1,sharing how you feel would show a person that you want a form a bond with them,1,Sharing how you were happy with your mom is nice,1,"depending on who's friend mom it is, telling them they were happy is also good",2,,18,,1,6,,2,Jesus Loves You,64012a2623351894f2917605,,,
100,483,1,4/26/25 17:39,,,,1,1,6,2,1,2,4,2,1,Because Percy reveals something more personal which was her being sad,1,0,1,Because typically you share more personal issues such as being sad with best friends,0,Usually children wouldn't tell an adult right away how they were truly feeling,1,Obviously Percy will have a closer relationship with her mom so most likely will tell her about feeling sad,2,1,4,2,1,I think Riley is because she told her more personal intimate feeling she was having,1,1,1,Because typically if somebody's going to be your best friend you're going to share more intimate details with them,1,Because typically you're more prone to tell your parents how you feel,0,Because they don't know as well their friend's mother so they're most likely just going to tell them about random facts about the elephant they learned,2,,28,,2,6,,5,No further comments,6713eeea64ca1fb59cbcbce4,,,
100,268,1,4/26/25 17:40,,,,1,1,6,3,1,2,4,4,0,Seems closer as a friend. ,0,0,0,Nobody tells someone new about their sadness right off the bat,0,Don't know her well enough to say that ,1,Because it is their mom and they would confide in her,2,1,3,3,1,Tells them more,0,1,0,Tell them a cool fact so they like them,1,Tell your mom about how you are feeling,0,Sharing a cool fact,2,,23,,2,3,,6,,6630d9ee0ec20757d2137554,,,
100,757,1,4/26/25 17:45,,,,1,1,6,5,1,2,5,3,1,"Percy is able to confide their more personal feelings to Avery, as opposed to Orin",1,1,0,I believe that telling someone that you're not familiar with something as personal as that can be a bit of a social fallacy.,0,"I think Percy wouldn't reveal personal feelings like that on a whim to an adult, but maybe a peer.",1,"I would assume that Percy has a good relationship with their mom, and considering that they told Avery that they were feeling sad, I would expect Percy to confide their feelings with their mom.",2,1,5,4,0,"I might think that Cameron might be a better friend to Kendall, as Kendall went into depth about the fact that they learned instead of simply just saying that they're happy.",0,0,0,"I think the fact about elephants would be a good conversation starter, more than something non-specific such as feeling happy.",0,I think that the fact about elephants might have more social effort than simply just stating that they're happy.,0,I think that stating that they're feeling happy is very non-specific and a bit abstract in this scenario. ,2,,2,,2,1,,2,,66977349fca27ef8b010e60f,,,
100,1312,1,4/26/25 17:57,,,,1,1,6,2,1,2,4,3,1,I think  Avery has qualities that were already known by Percy that allowed him to feel safe with her.,1,0,0,"When meeting someone new, I think it is healthier to start on a common interest rather than a struggle.",1,"A Mom, even though not his own, represents caring and understanding to a child. Someone safe for Percy to confide in.",1,"A Mom is a safety person, and where a young child seeks comfort.",2,1,4,3,1,"Kendall  felt at ease discussing an emotion, and with a friend they wanted to share a more intimate detail.",1,0,0,"I think that in a brand new social situation, it is a safe start in discussing a topic that is light or does not get personal. ",1,A Mom is an individual that typically is nurturing and responsive to a child's emotions.,1,I believe a child is conditioned by their own mother to be more open with older female figures.,1,,43,,2,6,,5,"The study was clearly communicated, and I gave serious and thoughtful answers.",6483f9ebf7986bdbdbc0598c,,,
100,2473,1,4/26/25 18:10,,,,0.899999976,2,6,3,1,2,5,2,1,Because Percy is comfortable enough to share their feelings with them.,1,1,1,This is a sign of being ready to be vulnerable,0,They would not be close enough for Percy to disclose their feelings,1,They are close and Percy would be ready to be vulnerable to their mom,2,1,4,2,1,Kendall shared their feeling with them,0,1,1,To express their feelings is a sign of trust,1,Kendall is close to the mom and would most probable want to share how they are feeling,0,They are not close enough for Kendall to trust her with her feelings,2,,23,,2,6,,6,none,67dd9a52b3cec8146265307f,,,
100,2754,1,4/26/25 18:12,,,,1,1,5,3,1,2,3,2,1,She are good enough that Percy told her his feelings.,1,0,0,A friend might think he is cooler at first if he shares a fun fact rather than express his emotions.,0,It could make him more embarrassed to say how he was feeling sad.,1,It is important for his mom to know his true feelings.,2,1,3,2,1,Kendall told him his emotions,1,1,0,They would be more interested about the elephant facts than his emotions.,1,It is more important for his mom to know about his emotions.,0,"She would be more interested in hearing this, but either option is fine.",2,,2,,2,6,,3,,66940332d70583ebe9a33c05,,,
97,710,0,4/30/25 9:51,,,,1,1,6,3,1,2,6,3,0,"Percy told Orin that is is sad, which shows a closer relationship  than Avery who he juat told a fact about foxes.",0,0,1,"He would be sharing an emotion that could lead to them becoming cliser, rather than a fact that would just be interesting. ",1,I think children tend to open up to their friends parents.,1,Children definitely open up their parents about their emotions. ,2,1,3,3,1,I think sharing an emotion implies a closer relationship. ,0,1,1,I think sharing a positive emotion could show positivity that could make the new person want to be friends. ,0,"I think the child would want to share the new information they learned over being happy, which i assume is their normal state.",0,The same reason as with his mom.,2,,28,,2,6,,5,Thanks.,,,,
97,181766,0,4/30/25 9:51,,,,0.899999976,1,6,2,1,2,4,3,1,because Percy felt safe to share how sad he was with Avery,1,0,,he woud share about foxes because it was a fun experience,0,so that his Mom can sooth him,1,because his Mom would try to motivate him and make him feel better,2,1,4,2,1,riley because kendall told her about being happy,1,1,0,so that she can get to talk to the new friend for long,0,she would want to share about elephants because they were fun to see,0,because elephants were fun to see,2,,11,,2,2,,6,,,,,
97,2431,0,4/30/25 9:51,,,,0.899999976,1,6,2,1,2,5,2,1,"Avery (Blue) seems a better friend because Percy shared his sadness with Avery, indicating trust and closeness.",1,1,1,Sharing sadness might make a new friend faster because it shows you trust them.,0,"Percy would likely tell their mom about feeling sad, as parents are usually the first to know about feelings.",1,"Percy might tell their friend's mom the fact about foxes, as it's a less personal topic for them.",2,1,6,4,1,"Riley (Green) seems a better friend as Kendall shared their happiness with Riley, a more personal connection than sharing a fact with Cameron (Pink)",0,1,1,"Sharing happiness would likely forge a best friendship quicker, building emotional connection more effectively than sharing an elephant fact.",1,"Kendall would likely tell their mom about feeling happy, sharing personal feelings with a parent.",0,"Kendall might tell their friend's mom the fact about elephants, as it's a simple, school-related topic for casual conversation.",2,,42,,2,6,,5,,,,,
97,1177,0,4/30/25 9:51,,,,,1,6,2,1,2,5,3,1,Because you can only share your feelings with your best friend.,1,0,1,Your best friend cares much about your feelings.,0,Your mom is the first best friend and so you tell her about how you feel freely,1,"It's not necessary to tell your moms best friend how you feel, it will have no impact to them",2,1,4,3,1,Because a close friend is the one you tell about yourself and how you feel.,1,1,1,A better friend should be aware of how you are feeling. The facts about elephants are not important to their friendship.,1,Your mom should know more about how you feel before you can share any other information.,0,They are not that close.,1,,14,,2,6,,7,,,,,
97,91775,0,4/30/25 9:51,,,,0.699999988,1,6,2,1,2,4,2,1,because they were told about being sad,1,0,0,he would share about foxes because interesting,0,so that her Mom can console her,1,so that her Mom can console her about being sad,2,1,4,3,0,because they were told about elephants,0,0,0,because she will want to keep the conversation interesting and going,0,because elephants were interesting to see,0,because its interesting,2,,6,,1,4,,5,,,,,
98,3717,0,4/30/25 9:51,,,,1,4,6,4,1,2,5,4,1,I selected Avery but I don't see one as being a better friend than the other. They're equal to me ,1,0,0,It's interesting.,1,Because it's an adult.,1,Because she's a safe adult ,2,1,4,4,0,I think that they're equally good friends. This setup makes no sense to me. ,0,0,0,It's interesting and the person might be more interested in Kendall. ,1,She's a trusted adult and is curious about his well-being.,1,She is a trusted adult and that is the kind of thing he would share with her.,1,,38,,2,6,,5,"During the second scenario, I forgot which friend heard about the elephant and which one heard that Kendall was happy. This is because I have ADHD and not because I wasn't paying attention.",,,,
97,981,0,4/30/25 9:51,,,,0.899999976,1,6,5,1,2,3,1,1,This is because Percy had no problem sharing the sadness with the friend,0,1,1,This because it will show that Percy trust the new friend and in return they will become friends.,1,Because I assume that Percy is in cross relationship with the mum,1,Because they have a cross relationship,2,1,3,1,1,Because Kendall shared the happiness moments with Riley,0,0,1,To be close with the friend,1,Because their bond is close to one another,0,They are not too much close,2,,37,,2,6,,7,,,,,
