,Version,ID,Sex,AgeYears,AgeMonths,AgeDays,Experimenter,Mom_and_Child,Strangers,Friends,character_emotion,Circles_fact_s,Circles_emo_s,Better_Friend_sad,New_Friend_sad,Mom_sad,FriendMom_sad,character_emotion.1,Circles_fact_h,Circles_emo_h,Better_Friend_happy,New_Friend_happy,Mom_happy,FriendMom_happy,condition,item,emotion_shared,answer
1,A,S001,F,8,0,14,Megan,3,6,4,Orin,6,5,1,2,1,2,Cameron,5,5,0,2,2,1,Ice_Cream_sad,IceCream,sad,1
2,B,S002,F,8,4,22,Megan,2,6,4,Orin,5,3,1,2,1,1,Cameron,3,5,1,2,1,1,Ice_Cream_sad,IceCream,sad,1
3,A,S003,M,7,7,28,Megan,3,6,4,Orin,5,5,1,1,2,1,Cameron,4,5,1,2,1,2,Ice_Cream_sad,IceCream,sad,1
4,B,S004,M,6,10,23,Megan,1,6,3,Orin,6,3,1,1,2,1,Cameron,6,3,1,2,2,2,Ice_Cream_sad,IceCream,sad,1
5,A,S005,F,9,10,17,Megan,1,6,5,Orin,5,4,1,1,2,2,Cameron,5,4,1,1,2,2,Ice_Cream_sad,IceCream,sad,1
6,B,S006,F,7,11,25,Megan,1,6,5,Orin,5,5,1,1,2,2,Cameron,5,4,0,1,2,1,Ice_Cream_sad,IceCream,sad,0
7,A,S007,F,7,11,0,Megan,4,6,2,Orin,6,1,1,2,2,1,Cameron,4,2,1,1,2,2,Ice_Cream_sad,IceCream,sad,1
8,B,S008,F,8,4,22,Megan,1,6,2,Orin,3,2,1,2,2,2,Cameron,3,2,1,2,2,2,Ice_Cream_sad,IceCream,sad,1
9,A,S009,M,9,9,6,Megan,2,6,3,Orin,4,4,1,1,2,1,Cameron,3,4,0,2,1,1,Ice_Cream_sad,IceCream,sad,0
10,B,S010,F,8,1,5,Megan,4,6,5,Orin,5,5,0,1,2,1,Cameron,5,5,1,2,1,2,Ice_Cream_sad,IceCream,sad,0
11,A,S011,M,7,1,9,Megan,2,5,3,Orin,2,4,0,2,2,1,Cameron,4,3,1,2,1,1,Ice_Cream_sad,IceCream,sad,0
12,B,S012,M,8,5,21,Megan,1,6,4,Orin,4,1,1,2,1,1,Cameron,3,1,1,2,1,1,Ice_Cream_sad,IceCream,sad,1
13,C,S013,M,6,7,2,Megan,4,6,3,Orin,4,4,1,1,2,1,Cameron,4,4,1,1,2,1,Ice_Cream_sad,IceCream,sad,0
14,D,S014,M,6,9,12,Megan,4,6,1,Orin,6,6,1,2,1,2,Cameron,6,6,0,2,2,2,Ice_Cream_sad,IceCream,sad,1
15,C,S015,M,8,8,5,Megan,3,6,4,Orin,4,4,1,2,2,1,Cameron,5,4,1,1,1,2,Ice_Cream_sad,IceCream,sad,1
16,D,S016,M,7,2,10,Megan,1,6,5,Orin,6,5,0,2,2,2,Cameron,4,5,0,1,1,2,Ice_Cream_sad,IceCream,sad,1
17,C,S017,M,6,8,2,Megan,5,6,2,Orin,6,6,1,2,2,1,Cameron,5,6,0,2,2,1,Ice_Cream_sad,IceCream,sad,1
18,D,S018,M,8,1,26,Megan,1,6,4,Orin,5,4,1,1,2,1,Cameron,4,5,1,2,2,1,Ice_Cream_sad,IceCream,sad,1
19,C,S019,M,7,6,4,Megan,3,6,1,Orin,4,6,0,2,2,1,Cameron,1,1,0,2,2,2,Ice_Cream_sad,IceCream,sad,1
20,D,S020,F,9,1,12,Megan,4,6,1,Orin,4,2,1,2,2,2,Cameron,5,5,0,1,2,1,Ice_Cream_sad,IceCream,sad,1
21,C,S021,F,6,5,9,Megan,6,4,5,Orin,3,4,1,1,2,1,Cameron,2,4,0,2,1,2,Ice_Cream_sad,IceCream,sad,1
22,D,S022,F,6,5,9,Megan,1,6,5,Orin,2,6,0,1,1,1,Cameron,1,4,0,1,1,2,Ice_Cream_sad,IceCream,sad,0
23,C,S023,M,7,2,14,Megan,2,6,5,Orin,6,6,1,2,2,1,Cameron,6,5,1,1,2,2,Ice_Cream_sad,IceCream,sad,1
24,D,S024,F,6,9,12,Megan,1,6,5,Orin,5,4,1,1,2,1,Cameron,4,5,0,2,2,1,Ice_Cream_sad,IceCream,sad,1
25,A,S025,F,7,10,7,Megan,3,6,2,Orin,4,2,1,2,2,1,Cameron,4,3,0,1,2,1,Ice_Cream_sad,IceCream,sad,1
26,B,S026,M,6,0,15,Megan,6,5,4,Orin,1,2,0,1,1,1,Cameron,6,5,0,2,1,2,Ice_Cream_sad,IceCream,sad,0
27,C,S027,M,6,11,15,Megan,4,6,1,Orin,5,5,1,1,2,2,Cameron,6,6,0,2,2,2,Ice_Cream_sad,IceCream,sad,1
28,D,S028,F,7,6,27,Megan,1,6,3,Orin,4,5,0,1,2,1,Cameron,4,5,0,2,1,2,Ice_Cream_sad,IceCream,sad,1
29,A,S029,M,6,5,20,Megan,4,6,5,Orin,6,6,1,2,1,2,Cameron,5,6,1,1,1,1,Ice_Cream_sad,IceCream,sad,1
30,B,S030,M,7,1,26,Megan,3,6,5,Orin,6,5,0,2,2,1,Cameron,3,1,0,2,1,2,Ice_Cream_sad,IceCream,sad,1
31,C,S031,M,7,6,29,Megan,4,6,3,Orin,5,5,1,1,2,1,Cameron,5,5,1,1,1,1,Ice_Cream_sad,IceCream,sad,0
32,E,S032,M,8,11,11,Megan,6,6,1,Avery,2,2,1,1,1,1,Riley,3,2,1,1,2,1,Ice_Cream_sad,IceCream,sad,1
33,G,S034,M,7,1,21,Megan,1,6,3,Avery,4,2,1,2,2,2,Riley,4,2,1,1,2,2,Ice_Cream_sad,IceCream,sad,1
34,H,S035,M,9,1,20,Megan,4,6,5,Avery,5,4,1,1,2,1,Riley,4,5,1,1,2,2,Ice_Cream_sad,IceCream,sad,0
35,E,S036,M,6,6,24,Megan,4,6,1,Avery,4,6,0,1,1,2,Riley,1,4,1,2,2,1,Ice_Cream_sad,IceCream,sad,0
36,F,S037,M,8,4,2,Megan,2,6,4,Avery,5,6,1,1,1,1,Riley,5,5,1,2,1,1,Ice_Cream_sad,IceCream,sad,0
37,G,S038,M,8,11,9,Megan,1,6,3,Avery,4,3,1,2,2,2,Riley,4,4,0,2,2,2,Ice_Cream_sad,IceCream,sad,1
38,H,S039,M,7,4,24,Megan,4,6,3,Avery,6,6,1,2,2,1,Riley,6,6,1,2,1,1,Ice_Cream_sad,IceCream,sad,1
39,E,S040,M,6,7,28,Megan,1,6,3,Avery,4,4,1,1,2,2,Riley,4,3,0,1,2,2,Ice_Cream_sad,IceCream,sad,1
40,F,S041,F,8,3,30,Megan,2,6,3,Avery,3,1,1,1,2,1,Riley,2,2,0,2,2,1,Ice_Cream_sad,IceCream,sad,0
41,G,S042,F,9,6,22,Megan,2,6,4,Avery,5,4,1,2,2,1,Riley,5,4,1,2,2,1,Ice_Cream_sad,IceCream,sad,1
42,E,S044,F,9,9,18,Megan,3,6,4,Avery,5,4,1,2,2,2,Riley,4,4,1,2,2,2,Ice_Cream_sad,IceCream,sad,1
43,F,S045,F,7,7,27,Megan,2,6,3,Avery,2,4,0,1,2,1,Riley,3,3,0,1,2,2,Ice_Cream_sad,IceCream,sad,0
44,G,S046,F,8,2,8,Megan,2,6,4,Avery,4,3,1,2,2,2,Riley,5,4,0,1,1,1,Ice_Cream_sad,IceCream,sad,1
45,H,S047,F,8,2,3,Megan,4,6,5,Avery,4,3,1,2,2,2,Riley,4,3,1,2,2,2,Ice_Cream_sad,IceCream,sad,1
46,E,S048,M,9,7,14,Megan,3,6,5,Avery,5,4,1,2,2,1,Riley,5,5,1,1,1,1,Ice_Cream_sad,IceCream,sad,1
47,F,S049,M,7,3,9,Megan,1,6,2,Avery,6,6,0,1,2,2,Riley,4,4,1,2,1,1,Ice_Cream_sad,IceCream,sad,1
48,G,S050,M,7,1,5,Megan,1,6,3,Avery,3,4,1,1,1,2,Riley,3,3,1,1,1,2,Ice_Cream_sad,IceCream,sad,1
49,H,S051,F,9,2,5,Megan,3,4,5,Avery,5,4,1,1,2,1,Riley,4,5,0,1,1,1,Ice_Cream_sad,IceCream,sad,0
50,E,S052,M,9,6,13,Megan,5,6,4,Avery,6,5,1,2,2,1,Riley,6,5,1,2,1,1,Ice_Cream_sad,IceCream,sad,1
51,F,S053,M,7,5,12,Megan,1,6,4,Avery,5,5,1,1,2,2,Riley,4,6,0,2,2,1,Ice_Cream_sad,IceCream,sad,0
52,G,S054,M,8,5,22,Megan,5,6,2,Avery,5,3,1,2,2,2,Riley,1,2,0,2,2,2,Ice_Cream_sad,IceCream,sad,1
53,H,S055,M,6,3,15,Megan,1,2,3,Avery,3,2,1,1,1,1,Riley,6,5,0,2,2,2,Ice_Cream_sad,IceCream,sad,1
54,E,S056,M,6,2,13,Megan,1,6,3,Avery,5,6,0,1,1,1,Riley,6,6,0,1,1,1,Ice_Cream_sad,IceCream,sad,1
55,F,S057,M,9,3,2,Megan,1,6,4,Avery,4,3,1,2,2,1,Riley,3,4,0,2,2,1,Ice_Cream_sad,IceCream,sad,0
56,G,S058,F,7,6,1,Megan,5,6,3,Avery,5,5,0,2,1,2,Riley,5,5,0,1,1,2,Ice_Cream_sad,IceCream,sad,0
57,H,S059,M,6,10,16,Megan,4,6,3,Avery,6,6,1,1,2,2,Riley,6,6,0,1,1,1,Ice_Cream_sad,IceCream,sad,1
58,A,S001,F,8,0,14,Megan,3,6,4,Orin,6,5,1,2,1,2,Cameron,5,5,0,2,2,1,Candy_sad,Candy,sad,0
59,B,S002,F,8,4,22,Megan,2,6,4,Orin,5,3,1,2,1,1,Cameron,3,5,1,2,1,1,Candy_sad,Candy,sad,0
60,A,S003,M,7,7,28,Megan,3,6,4,Orin,5,5,1,1,2,1,Cameron,4,5,1,2,1,2,Candy_sad,Candy,sad,0
61,B,S004,M,6,10,23,Megan,1,6,3,Orin,6,3,1,1,2,1,Cameron,6,3,1,2,2,2,Candy_sad,Candy,sad,1
62,A,S005,F,9,10,17,Megan,1,6,5,Orin,5,4,1,1,2,2,Cameron,5,4,1,1,2,2,Candy_sad,Candy,sad,0
63,B,S006,F,7,11,25,Megan,1,6,5,Orin,5,5,1,1,2,2,Cameron,5,4,0,1,2,1,Candy_sad,Candy,sad,0
64,A,S007,F,7,11,0,Megan,4,6,2,Orin,6,1,1,2,2,1,Cameron,4,2,1,1,2,2,Candy_sad,Candy,sad,1
65,B,S008,F,8,4,22,Megan,1,6,2,Orin,3,2,1,2,2,2,Cameron,3,2,1,2,2,2,Candy_sad,Candy,sad,1
66,A,S009,M,9,9,6,Megan,2,6,3,Orin,4,4,1,1,2,1,Cameron,3,4,0,2,1,1,Candy_sad,Candy,sad,1
67,B,S010,F,8,1,5,Megan,4,6,5,Orin,5,5,0,1,2,1,Cameron,5,5,1,2,1,2,Candy_sad,Candy,sad,1
68,A,S011,M,7,1,9,Megan,2,5,3,Orin,2,4,0,2,2,1,Cameron,4,3,1,2,1,1,Candy_sad,Candy,sad,0
69,B,S012,M,8,5,21,Megan,1,6,4,Orin,4,1,1,2,1,1,Cameron,3,1,1,2,1,1,Candy_sad,Candy,sad,0
70,C,S013,M,6,7,2,Megan,4,6,3,Orin,4,4,1,1,2,1,Cameron,4,4,1,1,2,1,Candy_sad,Candy,sad,1
71,D,S014,M,6,9,12,Megan,4,6,1,Orin,6,6,1,2,1,2,Cameron,6,6,0,2,2,2,Candy_sad,Candy,sad,1
72,C,S015,M,8,8,5,Megan,3,6,4,Orin,4,4,1,2,2,1,Cameron,5,4,1,1,1,2,Candy_sad,Candy,sad,0
73,D,S016,M,7,2,10,Megan,1,6,5,Orin,6,5,0,2,2,2,Cameron,4,5,0,1,1,2,Candy_sad,Candy,sad,0
74,C,S017,M,6,8,2,Megan,5,6,2,Orin,6,6,1,2,2,1,Cameron,5,6,0,2,2,1,Candy_sad,Candy,sad,0
75,D,S018,M,8,1,26,Megan,1,6,4,Orin,5,4,1,1,2,1,Cameron,4,5,1,2,2,1,Candy_sad,Candy,sad,1
76,C,S019,M,7,6,4,Megan,3,6,1,Orin,4,6,0,2,2,1,Cameron,1,1,0,2,2,2,Candy_sad,Candy,sad,1
77,D,S020,F,9,1,12,Megan,4,6,1,Orin,4,2,1,2,2,2,Cameron,5,5,0,1,2,1,Candy_sad,Candy,sad,0
78,C,S021,F,6,5,9,Megan,6,4,5,Orin,3,4,1,1,2,1,Cameron,2,4,0,2,1,2,Candy_sad,Candy,sad,0
79,D,S022,F,6,5,9,Megan,1,6,5,Orin,2,6,0,1,1,1,Cameron,1,4,0,1,1,2,Candy_sad,Candy,sad,0
80,C,S023,M,7,2,14,Megan,2,6,5,Orin,6,6,1,2,2,1,Cameron,6,5,1,1,2,2,Candy_sad,Candy,sad,0
81,D,S024,F,6,9,12,Megan,1,6,5,Orin,5,4,1,1,2,1,Cameron,4,5,0,2,2,1,Candy_sad,Candy,sad,1
82,A,S025,F,7,10,7,Megan,3,6,2,Orin,4,2,1,2,2,1,Cameron,4,3,0,1,2,1,Candy_sad,Candy,sad,0
83,B,S026,M,6,0,15,Megan,6,5,4,Orin,1,2,0,1,1,1,Cameron,6,5,0,2,1,2,Candy_sad,Candy,sad,0
84,C,S027,M,6,11,15,Megan,4,6,1,Orin,5,5,1,1,2,2,Cameron,6,6,0,2,2,2,Candy_sad,Candy,sad,1
85,D,S028,F,7,6,27,Megan,1,6,3,Orin,4,5,0,1,2,1,Cameron,4,5,0,2,1,2,Candy_sad,Candy,sad,0
86,A,S029,M,6,5,20,Megan,4,6,5,Orin,6,6,1,2,1,2,Cameron,5,6,1,1,1,1,Candy_sad,Candy,sad,1
87,B,S030,M,7,1,26,Megan,3,6,5,Orin,6,5,0,2,2,1,Cameron,3,1,0,2,1,2,Candy_sad,Candy,sad,1
88,C,S031,M,7,6,29,Megan,4,6,3,Orin,5,5,1,1,2,1,Cameron,5,5,1,1,1,1,Candy_sad,Candy,sad,1
89,E,S032,M,8,11,11,Megan,6,6,1,Avery,2,2,1,1,1,1,Riley,3,2,1,1,2,1,Candy_sad,Candy,sad,0
90,G,S034,M,7,1,21,Megan,1,6,3,Avery,4,2,1,2,2,2,Riley,4,2,1,1,2,2,Candy_sad,Candy,sad,1
91,H,S035,M,9,1,20,Megan,4,6,5,Avery,5,4,1,1,2,1,Riley,4,5,1,1,2,2,Candy_sad,Candy,sad,0
92,E,S036,M,6,6,24,Megan,4,6,1,Avery,4,6,0,1,1,2,Riley,1,4,1,2,2,1,Candy_sad,Candy,sad,1
93,F,S037,M,8,4,2,Megan,2,6,4,Avery,5,6,1,1,1,1,Riley,5,5,1,2,1,1,Candy_sad,Candy,sad,1
94,G,S038,M,8,11,9,Megan,1,6,3,Avery,4,3,1,2,2,2,Riley,4,4,0,2,2,2,Candy_sad,Candy,sad,1
95,H,S039,M,7,4,24,Megan,4,6,3,Avery,6,6,1,2,2,1,Riley,6,6,1,2,1,1,Candy_sad,Candy,sad,1
96,E,S040,M,6,7,28,Megan,1,6,3,Avery,4,4,1,1,2,2,Riley,4,3,0,1,2,2,Candy_sad,Candy,sad,1
97,F,S041,F,8,3,30,Megan,2,6,3,Avery,3,1,1,1,2,1,Riley,2,2,0,2,2,1,Candy_sad,Candy,sad,1
98,G,S042,F,9,6,22,Megan,2,6,4,Avery,5,4,1,2,2,1,Riley,5,4,1,2,2,1,Candy_sad,Candy,sad,1
99,E,S044,F,9,9,18,Megan,3,6,4,Avery,5,4,1,2,2,2,Riley,4,4,1,2,2,2,Candy_sad,Candy,sad,1
100,F,S045,F,7,7,27,Megan,2,6,3,Avery,2,4,0,1,2,1,Riley,3,3,0,1,2,2,Candy_sad,Candy,sad,0
101,G,S046,F,8,2,8,Megan,2,6,4,Avery,4,3,1,2,2,2,Riley,5,4,0,1,1,1,Candy_sad,Candy,sad,0
102,H,S047,F,8,2,3,Megan,4,6,5,Avery,4,3,1,2,2,2,Riley,4,3,1,2,2,2,Candy_sad,Candy,sad,1
103,E,S048,M,9,7,14,Megan,3,6,5,Avery,5,4,1,2,2,1,Riley,5,5,1,1,1,1,Candy_sad,Candy,sad,1
104,F,S049,M,7,3,9,Megan,1,6,2,Avery,6,6,0,1,2,2,Riley,4,4,1,2,1,1,Candy_sad,Candy,sad,0
105,G,S050,M,7,1,5,Megan,1,6,3,Avery,3,4,1,1,1,2,Riley,3,3,1,1,1,2,Candy_sad,Candy,sad,1
106,H,S051,F,9,2,5,Megan,3,4,5,Avery,5,4,1,1,2,1,Riley,4,5,0,1,1,1,Candy_sad,Candy,sad,1
107,E,S052,M,9,6,13,Megan,5,6,4,Avery,6,5,1,2,2,1,Riley,6,5,1,2,1,1,Candy_sad,Candy,sad,1
108,F,S053,M,7,5,12,Megan,1,6,4,Avery,5,5,1,1,2,2,Riley,4,6,0,2,2,1,Candy_sad,Candy,sad,1
109,G,S054,M,8,5,22,Megan,5,6,2,Avery,5,3,1,2,2,2,Riley,1,2,0,2,2,2,Candy_sad,Candy,sad,1
110,H,S055,M,6,3,15,Megan,1,2,3,Avery,3,2,1,1,1,1,Riley,6,5,0,2,2,2,Candy_sad,Candy,sad,1
111,E,S056,M,6,2,13,Megan,1,6,3,Avery,5,6,0,1,1,1,Riley,6,6,0,1,1,1,Candy_sad,Candy,sad,0
112,F,S057,M,9,3,2,Megan,1,6,4,Avery,4,3,1,2,2,1,Riley,3,4,0,2,2,1,Candy_sad,Candy,sad,1
113,G,S058,F,7,6,1,Megan,5,6,3,Avery,5,5,0,2,1,2,Riley,5,5,0,1,1,2,Candy_sad,Candy,sad,1
