,Version,ID,Sex,AgeYears,AgeMonths,AgeDays,Experimenter,Mom_and_Child,Strangers,Friends,character_emotion,Circles_fact_s,Circles_emo_s,Better_Friend_sad,New_Friend_sad,Mom_sad,FriendMom_sad,character_emotion.1,Circles_fact_h,Circles_emo_h,Better_Friend_happy,New_Friend_happy,Mom_happy,FriendMom_happy,condition,item,emotion_shared,answer
114,H,S059,M,6,10,16,Megan,4,6,3,Avery,6,6,1,1,2,2,Riley,6,6,0,1,1,1,Candy_sad,Candy,sad,1
115,A,S001,F,8,0,14,Megan,3,6,4,Orin,6,5,1,2,1,2,Cameron,5,5,0,2,2,1,Ice_Cream_happy,Ice,Cream,1
116,B,S002,F,8,4,22,Megan,2,6,4,Orin,5,3,1,2,1,1,Cameron,3,5,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
117,A,S003,M,7,7,28,Megan,3,6,4,Orin,5,5,1,1,2,1,Cameron,4,5,1,2,1,2,Ice_Cream_happy,Ice,Cream,0
118,B,S004,M,6,10,23,Megan,1,6,3,Orin,6,3,1,1,2,1,Cameron,6,3,1,2,2,2,Ice_Cream_happy,Ice,Cream,1
119,A,S005,F,9,10,17,Megan,1,6,5,Orin,5,4,1,1,2,2,Cameron,5,4,1,1,2,2,Ice_Cream_happy,Ice,Cream,1
120,B,S006,F,7,11,25,Megan,1,6,5,Orin,5,5,1,1,2,2,Cameron,5,4,0,1,2,1,Ice_Cream_happy,Ice,Cream,0
121,A,S007,F,7,11,0,Megan,4,6,2,Orin,6,1,1,2,2,1,Cameron,4,2,1,1,2,2,Ice_Cream_happy,Ice,Cream,0
122,B,S008,F,8,4,22,Megan,1,6,2,Orin,3,2,1,2,2,2,Cameron,3,2,1,2,2,2,Ice_Cream_happy,Ice,Cream,1
123,A,S009,M,9,9,6,Megan,2,6,3,Orin,4,4,1,1,2,1,Cameron,3,4,0,2,1,1,Ice_Cream_happy,Ice,Cream,1
124,B,S010,F,8,1,5,Megan,4,6,5,Orin,5,5,0,1,2,1,Cameron,5,5,1,2,1,2,Ice_Cream_happy,Ice,Cream,0
125,A,S011,M,7,1,9,Megan,2,5,3,Orin,2,4,0,2,2,1,Cameron,4,3,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
126,B,S012,M,8,5,21,Megan,1,6,4,Orin,4,1,1,2,1,1,Cameron,3,1,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
127,C,S013,M,6,7,2,Megan,4,6,3,Orin,4,4,1,1,2,1,Cameron,4,4,1,1,2,1,Ice_Cream_happy,Ice,Cream,0
128,D,S014,M,6,9,12,Megan,4,6,1,Orin,6,6,1,2,1,2,Cameron,6,6,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
129,C,S015,M,8,8,5,Megan,3,6,4,Orin,4,4,1,2,2,1,Cameron,5,4,1,1,1,2,Ice_Cream_happy,Ice,Cream,1
130,D,S016,M,7,2,10,Megan,1,6,5,Orin,6,5,0,2,2,2,Cameron,4,5,0,1,1,2,Ice_Cream_happy,Ice,Cream,0
131,C,S017,M,6,8,2,Megan,5,6,2,Orin,6,6,1,2,2,1,Cameron,5,6,0,2,2,1,Ice_Cream_happy,Ice,Cream,0
132,D,S018,M,8,1,26,Megan,1,6,4,Orin,5,4,1,1,2,1,Cameron,4,5,1,2,2,1,Ice_Cream_happy,Ice,Cream,1
133,C,S019,M,7,6,4,Megan,3,6,1,Orin,4,6,0,2,2,1,Cameron,1,1,0,2,2,2,Ice_Cream_happy,Ice,Cream,1
134,D,S020,F,9,1,12,Megan,4,6,1,Orin,4,2,1,2,2,2,Cameron,5,5,0,1,2,1,Ice_Cream_happy,Ice,Cream,0
135,C,S021,F,6,5,9,Megan,6,4,5,Orin,3,4,1,1,2,1,Cameron,2,4,0,2,1,2,Ice_Cream_happy,Ice,Cream,1
136,D,S022,F,6,5,9,Megan,1,6,5,Orin,2,6,0,1,1,1,Cameron,1,4,0,1,1,2,Ice_Cream_happy,Ice,Cream,0
137,C,S023,M,7,2,14,Megan,2,6,5,Orin,6,6,1,2,2,1,Cameron,6,5,1,1,2,2,Ice_Cream_happy,Ice,Cream,0
138,D,S024,F,6,9,12,Megan,1,6,5,Orin,5,4,1,1,2,1,Cameron,4,5,0,2,2,1,Ice_Cream_happy,Ice,Cream,0
139,A,S025,F,7,10,7,Megan,3,6,2,Orin,4,2,1,2,2,1,Cameron,4,3,0,1,2,1,Ice_Cream_happy,Ice,Cream,1
140,B,S026,M,6,0,15,Megan,6,5,4,Orin,1,2,0,1,1,1,Cameron,6,5,0,2,1,2,Ice_Cream_happy,Ice,Cream,1
141,C,S027,M,6,11,15,Megan,4,6,1,Orin,5,5,1,1,2,2,Cameron,6,6,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
142,D,S028,F,7,6,27,Megan,1,6,3,Orin,4,5,0,1,2,1,Cameron,4,5,0,2,1,2,Ice_Cream_happy,Ice,Cream,0
143,A,S029,M,6,5,20,Megan,4,6,5,Orin,6,6,1,2,1,2,Cameron,5,6,1,1,1,1,Ice_Cream_happy,Ice,Cream,1
144,B,S030,M,7,1,26,Megan,3,6,5,Orin,6,5,0,2,2,1,Cameron,3,1,0,2,1,2,Ice_Cream_happy,Ice,Cream,1
145,C,S031,M,7,6,29,Megan,4,6,3,Orin,5,5,1,1,2,1,Cameron,5,5,1,1,1,1,Ice_Cream_happy,Ice,Cream,0
146,E,S032,M,8,11,11,Megan,6,6,1,Avery,2,2,1,1,1,1,Riley,3,2,1,1,2,1,Ice_Cream_happy,Ice,Cream,1
147,G,S034,M,7,1,21,Megan,1,6,3,Avery,4,2,1,2,2,2,Riley,4,2,1,1,2,2,Ice_Cream_happy,Ice,Cream,1
148,H,S035,M,9,1,20,Megan,4,6,5,Avery,5,4,1,1,2,1,Riley,4,5,1,1,2,2,Ice_Cream_happy,Ice,Cream,0
149,E,S036,M,6,6,24,Megan,4,6,1,Avery,4,6,0,1,1,2,Riley,1,4,1,2,2,1,Ice_Cream_happy,Ice,Cream,0
150,F,S037,M,8,4,2,Megan,2,6,4,Avery,5,6,1,1,1,1,Riley,5,5,1,2,1,1,Ice_Cream_happy,Ice,Cream,0
151,G,S038,M,8,11,9,Megan,1,6,3,Avery,4,3,1,2,2,2,Riley,4,4,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
152,H,S039,M,7,4,24,Megan,4,6,3,Avery,6,6,1,2,2,1,Riley,6,6,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
153,E,S040,M,6,7,28,Megan,1,6,3,Avery,4,4,1,1,2,2,Riley,4,3,0,1,2,2,Ice_Cream_happy,Ice,Cream,0
154,F,S041,F,8,3,30,Megan,2,6,3,Avery,3,1,1,1,2,1,Riley,2,2,0,2,2,1,Ice_Cream_happy,Ice,Cream,0
155,G,S042,F,9,6,22,Megan,2,6,4,Avery,5,4,1,2,2,1,Riley,5,4,1,2,2,1,Ice_Cream_happy,Ice,Cream,1
156,E,S044,F,9,9,18,Megan,3,6,4,Avery,5,4,1,2,2,2,Riley,4,4,1,2,2,2,Ice_Cream_happy,Ice,Cream,1
157,F,S045,F,7,7,27,Megan,2,6,3,Avery,2,4,0,1,2,1,Riley,3,3,0,1,2,2,Ice_Cream_happy,Ice,Cream,0
158,G,S046,F,8,2,8,Megan,2,6,4,Avery,4,3,1,2,2,2,Riley,5,4,0,1,1,1,Ice_Cream_happy,Ice,Cream,0
159,H,S047,F,8,2,3,Megan,4,6,5,Avery,4,3,1,2,2,2,Riley,4,3,1,2,2,2,Ice_Cream_happy,Ice,Cream,1
160,E,S048,M,9,7,14,Megan,3,6,5,Avery,5,4,1,2,2,1,Riley,5,5,1,1,1,1,Ice_Cream_happy,Ice,Cream,0
161,F,S049,M,7,3,9,Megan,1,6,2,Avery,6,6,0,1,2,2,Riley,4,4,1,2,1,1,Ice_Cream_happy,Ice,Cream,0
162,G,S050,M,7,1,5,Megan,1,6,3,Avery,3,4,1,1,1,2,Riley,3,3,1,1,1,2,Ice_Cream_happy,Ice,Cream,1
163,H,S051,F,9,2,5,Megan,3,4,5,Avery,5,4,1,1,2,1,Riley,4,5,0,1,1,1,Ice_Cream_happy,Ice,Cream,1
164,E,S052,M,9,6,13,Megan,5,6,4,Avery,6,5,1,2,2,1,Riley,6,5,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
165,F,S053,M,7,5,12,Megan,1,6,4,Avery,5,5,1,1,2,2,Riley,4,6,0,2,2,1,Ice_Cream_happy,Ice,Cream,1
166,G,S054,M,8,5,22,Megan,5,6,2,Avery,5,3,1,2,2,2,Riley,1,2,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
167,H,S055,M,6,3,15,Megan,1,2,3,Avery,3,2,1,1,1,1,Riley,6,5,0,2,2,2,Ice_Cream_happy,Ice,Cream,1
168,E,S056,M,6,2,13,Megan,1,6,3,Avery,5,6,0,1,1,1,Riley,6,6,0,1,1,1,Ice_Cream_happy,Ice,Cream,0
169,F,S057,M,9,3,2,Megan,1,6,4,Avery,4,3,1,2,2,1,Riley,3,4,0,2,2,1,Ice_Cream_happy,Ice,Cream,1
170,G,S058,F,7,6,1,Megan,5,6,3,Avery,5,5,0,2,1,2,Riley,5,5,0,1,1,2,Ice_Cream_happy,Ice,Cream,0
171,H,S059,M,6,10,16,Megan,4,6,3,Avery,6,6,1,1,2,2,Riley,6,6,0,1,1,1,Ice_Cream_happy,Ice,Cream,0
172,A,S001,F,8,0,14,Megan,3,6,4,Orin,6,5,1,2,1,2,Cameron,5,5,0,2,2,1,Candy_happy,Candy,happy,0
173,B,S002,F,8,4,22,Megan,2,6,4,Orin,5,3,1,2,1,1,Cameron,3,5,1,2,1,1,Candy_happy,Candy,happy,0
174,A,S003,M,7,7,28,Megan,3,6,4,Orin,5,5,1,1,2,1,Cameron,4,5,1,2,1,2,Candy_happy,Candy,happy,1
175,B,S004,M,6,10,23,Megan,1,6,3,Orin,6,3,1,1,2,1,Cameron,6,3,1,2,2,2,Candy_happy,Candy,happy,1
176,A,S005,F,9,10,17,Megan,1,6,5,Orin,5,4,1,1,2,2,Cameron,5,4,1,1,2,2,Candy_happy,Candy,happy,0
177,B,S006,F,7,11,25,Megan,1,6,5,Orin,5,5,1,1,2,2,Cameron,5,4,0,1,2,1,Candy_happy,Candy,happy,0
178,A,S007,F,7,11,0,Megan,4,6,2,Orin,6,1,1,2,2,1,Cameron,4,2,1,1,2,2,Candy_happy,Candy,happy,1
179,B,S008,F,8,4,22,Megan,1,6,2,Orin,3,2,1,2,2,2,Cameron,3,2,1,2,2,2,Candy_happy,Candy,happy,1
180,A,S009,M,9,9,6,Megan,2,6,3,Orin,4,4,1,1,2,1,Cameron,3,4,0,2,1,1,Candy_happy,Candy,happy,0
181,B,S010,F,8,1,5,Megan,4,6,5,Orin,5,5,0,1,2,1,Cameron,5,5,1,2,1,2,Candy_happy,Candy,happy,0
182,A,S011,M,7,1,9,Megan,2,5,3,Orin,2,4,0,2,2,1,Cameron,4,3,1,2,1,1,Candy_happy,Candy,happy,0
183,B,S012,M,8,5,21,Megan,1,6,4,Orin,4,1,1,2,1,1,Cameron,3,1,1,2,1,1,Candy_happy,Candy,happy,0
184,C,S013,M,6,7,2,Megan,4,6,3,Orin,4,4,1,1,2,1,Cameron,4,4,1,1,2,1,Candy_happy,Candy,happy,1
185,D,S014,M,6,9,12,Megan,4,6,1,Orin,6,6,1,2,1,2,Cameron,6,6,0,2,2,2,Candy_happy,Candy,happy,0
186,C,S015,M,8,8,5,Megan,3,6,4,Orin,4,4,1,2,2,1,Cameron,5,4,1,1,1,2,Candy_happy,Candy,happy,0
187,D,S016,M,7,2,10,Megan,1,6,5,Orin,6,5,0,2,2,2,Cameron,4,5,0,1,1,2,Candy_happy,Candy,happy,0
188,C,S017,M,6,8,2,Megan,5,6,2,Orin,6,6,1,2,2,1,Cameron,5,6,0,2,2,1,Candy_happy,Candy,happy,1
189,D,S018,M,8,1,26,Megan,1,6,4,Orin,5,4,1,1,2,1,Cameron,4,5,1,2,2,1,Candy_happy,Candy,happy,1
190,C,S019,M,7,6,4,Megan,3,6,1,Orin,4,6,0,2,2,1,Cameron,1,1,0,2,2,2,Candy_happy,Candy,happy,0
191,D,S020,F,9,1,12,Megan,4,6,1,Orin,4,2,1,2,2,2,Cameron,5,5,0,1,2,1,Candy_happy,Candy,happy,1
192,C,S021,F,6,5,9,Megan,6,4,5,Orin,3,4,1,1,2,1,Cameron,2,4,0,2,1,2,Candy_happy,Candy,happy,0
193,D,S022,F,6,5,9,Megan,1,6,5,Orin,2,6,0,1,1,1,Cameron,1,4,0,1,1,2,Candy_happy,Candy,happy,0
194,C,S023,M,7,2,14,Megan,2,6,5,Orin,6,6,1,2,2,1,Cameron,6,5,1,1,2,2,Candy_happy,Candy,happy,1
195,D,S024,F,6,9,12,Megan,1,6,5,Orin,5,4,1,1,2,1,Cameron,4,5,0,2,2,1,Candy_happy,Candy,happy,0
196,A,S025,F,7,10,7,Megan,3,6,2,Orin,4,2,1,2,2,1,Cameron,4,3,0,1,2,1,Candy_happy,Candy,happy,0
197,B,S026,M,6,0,15,Megan,6,5,4,Orin,1,2,0,1,1,1,Cameron,6,5,0,2,1,2,Candy_happy,Candy,happy,0
198,C,S027,M,6,11,15,Megan,4,6,1,Orin,5,5,1,1,2,2,Cameron,6,6,0,2,2,2,Candy_happy,Candy,happy,0
199,D,S028,F,7,6,27,Megan,1,6,3,Orin,4,5,0,1,2,1,Cameron,4,5,0,2,1,2,Candy_happy,Candy,happy,0
200,A,S029,M,6,5,20,Megan,4,6,5,Orin,6,6,1,2,1,2,Cameron,5,6,1,1,1,1,Candy_happy,Candy,happy,0
201,B,S030,M,7,1,26,Megan,3,6,5,Orin,6,5,0,2,2,1,Cameron,3,1,0,2,1,2,Candy_happy,Candy,happy,1
202,C,S031,M,7,6,29,Megan,4,6,3,Orin,5,5,1,1,2,1,Cameron,5,5,1,1,1,1,Candy_happy,Candy,happy,1
203,E,S032,M,8,11,11,Megan,6,6,1,Avery,2,2,1,1,1,1,Riley,3,2,1,1,2,1,Candy_happy,Candy,happy,1
204,G,S034,M,7,1,21,Megan,1,6,3,Avery,4,2,1,2,2,2,Riley,4,2,1,1,2,2,Candy_happy,Candy,happy,1
205,H,S035,M,9,1,20,Megan,4,6,5,Avery,5,4,1,1,2,1,Riley,4,5,1,1,2,2,Candy_happy,Candy,happy,0
206,E,S036,M,6,6,24,Megan,4,6,1,Avery,4,6,0,1,1,2,Riley,1,4,1,2,2,1,Candy_happy,Candy,happy,1
207,F,S037,M,8,4,2,Megan,2,6,4,Avery,5,6,1,1,1,1,Riley,5,5,1,2,1,1,Candy_happy,Candy,happy,1
208,G,S038,M,8,11,9,Megan,1,6,3,Avery,4,3,1,2,2,2,Riley,4,4,0,2,2,2,Candy_happy,Candy,happy,0
209,H,S039,M,7,4,24,Megan,4,6,3,Avery,6,6,1,2,2,1,Riley,6,6,1,2,1,1,Candy_happy,Candy,happy,1
210,E,S040,M,6,7,28,Megan,1,6,3,Avery,4,4,1,1,2,2,Riley,4,3,0,1,2,2,Candy_happy,Candy,happy,1
211,F,S041,F,8,3,30,Megan,2,6,3,Avery,3,1,1,1,2,1,Riley,2,2,0,2,2,1,Candy_happy,Candy,happy,1
212,G,S042,F,9,6,22,Megan,2,6,4,Avery,5,4,1,2,2,1,Riley,5,4,1,2,2,1,Candy_happy,Candy,happy,1
213,E,S044,F,9,9,18,Megan,3,6,4,Avery,5,4,1,2,2,2,Riley,4,4,1,2,2,2,Candy_happy,Candy,happy,1
214,F,S045,F,7,7,27,Megan,2,6,3,Avery,2,4,0,1,2,1,Riley,3,3,0,1,2,2,Candy_happy,Candy,happy,1
215,G,S046,F,8,2,8,Megan,2,6,4,Avery,4,3,1,2,2,2,Riley,5,4,0,1,1,1,Candy_happy,Candy,happy,1
216,H,S047,F,8,2,3,Megan,4,6,5,Avery,4,3,1,2,2,2,Riley,4,3,1,2,2,2,Candy_happy,Candy,happy,1
217,E,S048,M,9,7,14,Megan,3,6,5,Avery,5,4,1,2,2,1,Riley,5,5,1,1,1,1,Candy_happy,Candy,happy,1
218,F,S049,M,7,3,9,Megan,1,6,2,Avery,6,6,0,1,2,2,Riley,4,4,1,2,1,1,Candy_happy,Candy,happy,1
219,G,S050,M,7,1,5,Megan,1,6,3,Avery,3,4,1,1,1,2,Riley,3,3,1,1,1,2,Candy_happy,Candy,happy,1
220,H,S051,F,9,2,5,Megan,3,4,5,Avery,5,4,1,1,2,1,Riley,4,5,0,1,1,1,Candy_happy,Candy,happy,0
221,E,S052,M,9,6,13,Megan,5,6,4,Avery,6,5,1,2,2,1,Riley,6,5,1,2,1,1,Candy_happy,Candy,happy,1
222,F,S053,M,7,5,12,Megan,1,6,4,Avery,5,5,1,1,2,2,Riley,4,6,0,2,2,1,Candy_happy,Candy,happy,0
223,G,S054,M,8,5,22,Megan,5,6,2,Avery,5,3,1,2,2,2,Riley,1,2,0,2,2,2,Candy_happy,Candy,happy,0
224,H,S055,M,6,3,15,Megan,1,2,3,Avery,3,2,1,1,1,1,Riley,6,5,0,2,2,2,Candy_happy,Candy,happy,1
225,E,S056,M,6,2,13,Megan,1,6,3,Avery,5,6,0,1,1,1,Riley,6,6,0,1,1,1,Candy_happy,Candy,happy,1
226,F,S057,M,9,3,2,Megan,1,6,4,Avery,4,3,1,2,2,1,Riley,3,4,0,2,2,1,Candy_happy,Candy,happy,0
227,G,S058,F,7,6,1,Megan,5,6,3,Avery,5,5,0,2,1,2,Riley,5,5,0,1,1,2,Candy_happy,Candy,happy,1
228,H,S059,M,6,10,16,Megan,4,6,3,Avery,6,6,1,1,2,2,Riley,6,6,0,1,1,1,Candy_happy,Candy,happy,0