study,emotion,age_yr,response,lower.HPD,upper.HPD,measure,relationship
study1_bf,happy,6,0.18177108285478963,4.838700142267847e-6,0.4686938095489132,NA,NA
study1_bf,sad,6,0.8071789989939224,0.5196552874539588,0.9998862778415891,NA,NA
study1_bf,happy,7,0.4898641816898166,0.15849421732138053,0.821520021569321,NA,NA
study1_bf,sad,7,0.5800006361091794,0.25006831647845185,0.9039420597492904,NA,NA
study1_bf,happy,8,0.7124800129498509,0.40800092225136214,0.9999636915132373,NA,NA
study1_bf,sad,8,0.9828198952209206,0.8409470078141678,0.9999999999999998,NA,NA
study1_bf,happy,9,0.653057314901847,0.2583325218026775,0.9999002487755816,NA,NA
study1_bf,sad,9,0.9999999999999998,0.9999797221467311,0.9999999999999998,NA,NA
study1_food,happy,6,0.46516079802075117,0.20374864504134982,0.7310947381617507,candy,NA
study1_food,sad,6,0.686902387702978,0.42336066150566665,0.9111848590688338,candy,NA
study1_food,happy,6,0.3177038382907401,0.09620790270333371,0.5883303088748064,ice_cream,NA
study1_food,sad,6,0.7612549918797489,0.5182552602634921,0.9571935899744091,ice_cream,NA
study1_food,happy,7,0.6282117078052591,0.37296957323141944,0.8475107497351662,candy,NA
study1_food,sad,7,0.503675713285739,0.24801599459775542,0.7425747786534947,candy,NA
study1_food,happy,7,0.4370085013828762,0.20271389591566993,0.6854204360837022,ice_cream,NA
study1_food,sad,7,0.6877814558527917,0.45936855508313146,0.9049273951048359,ice_cream,NA
study1_food,happy,8,0.5049044134553766,0.22536756907817157,0.7795464609133833,candy,NA
study1_food,sad,8,0.5841136622894454,0.3099952293290983,0.8355748005682965,candy,NA
study1_food,happy,8,0.582252462529434,0.30434321034333855,0.8407462094934556,ice_cream,NA
study1_food,sad,8,0.8154185216170169,0.585502182700715,0.9858503997176249,ice_cream,NA
study1_food,happy,9,0.5024840145907681,0.18493474807688356,0.8239465157055319,candy,NA
study1_food,sad,9,0.7357798130940559,0.42858524136673776,0.9675204632003348,candy,NA
study1_food,happy,9,0.7276573204676089,0.43015554660515254,0.9716801209502021,ice_cream,NA
study1_food,sad,9,0.6204569759128951,0.28029643600922527,0.8937466206879989,ice_cream,NA
study2,happy,6,0.440729913427528,0.24349860545333815,0.6464272194396575,NA,friend
study2,sad,6,0.6630493096025845,0.46273654530435154,0.8473601985684236,NA,friend
study2,happy,6,0.5991200377360357,0.38226360947454674,0.783811589126132,NA,bestfriend
study2,sad,6,0.4208264882140088,0.22133601828894198,0.6229723933456842,NA,bestfriend
study2,happy,7,0.2803083704952057,0.09558492057274005,0.5052991347083561,NA,friend
study2,sad,7,0.5511588346647462,0.32007953586054416,0.7836349430265934,NA,friend
study2,happy,7,0.49456787224660903,0.2518369202610885,0.7229253381689152,NA,bestfriend
study2,sad,7,0.5551263547698893,0.30899015273253705,0.7721459880676911,NA,bestfriend
study2,happy,8,0.3986255568807303,0.20120515983260173,0.5998696468887977,NA,friend
study2,sad,8,0.3822472964257735,0.20236046382625114,0.5896964381439602,NA,friend
study2,happy,8,0.43910873445113074,0.2477047433570245,0.6493576262060666,NA,bestfriend
study2,sad,8,0.6956508779197466,0.4975245903078682,0.8681146927058911,NA,bestfriend
study2,happy,9,0.2574477301167187,0.0753083164070404,0.4818109852209768,NA,friend
study2,sad,9,0.2848084357956403,0.08919042758073145,0.5099903731318189,NA,friend
study2,happy,9,0.753245588261974,0.5365245782559123,0.9334834062136877,NA,bestfriend
study2,sad,9,0.9044158974148417,0.7500978933644836,0.993160327904906,NA,bestfriend
study3A,happy,6,0.6193276676904145,0.3279946388757191,0.873779390357871,NA,NA
study3A,sad,6,0.15207910315582507,0.0019283873266705224,0.37675991915010465,NA,NA
study3A,happy,7,0.436092681664761,0.17526352219163133,0.689504682190567,NA,NA
study3A,sad,7,0.568338159304359,0.30550651154087693,0.8248386695381271,NA,NA
study3A,happy,8,0.8326838897228677,0.5934934264824899,0.9955266339198935,NA,NA
study3A,sad,8,0.6698032934025422,0.3909698017668535,0.9202529951304425,NA,NA
study3A,happy,9,0.4965348453858075,0.15582935900906453,0.8382335777411078,NA,NA
study3A,sad,9,0.6239714127276796,0.28390806300086086,0.9331745934355844,NA,NA
study3B,happy,6,0.4765533581569179,0.2460032686699246,0.7160942294775221,NA,NA
study3B,sad,6,0.3699739540524643,0.157376037202754,0.6126712095380143,NA,NA
study3B,happy,7,0.25770997788862393,0.04858267862067163,0.5038534819111666,NA,NA
study3B,sad,7,0.20375969741812852,0.03333126237981416,0.43965016276455904,NA,NA
study3B,happy,8,0.47217891727758643,0.22261853379923519,0.7110183461907098,NA,NA
study3B,sad,8,0.36230475265936035,0.14365222179929277,0.6002551326107441,NA,NA
study3B,happy,9,0.3904436086045386,0.12470025171786983,0.6662047671872836,NA,NA
study3B,sad,9,0.25023850873371384,0.04571601783170109,0.4971147162527901,NA,NA
study4A,happy,6,0.543523501900276,0.2505814537400055,0.8263312478006998,NA,friendmom
study4A,sad,6,0.37893769744510986,0.12221819309786393,0.6722761414696456,NA,friendmom
study4A,happy,6,0.6204348315937198,0.3243875177495004,0.8898608868941069,NA,mom
study4A,sad,6,0.538347849062603,0.24602496022530002,0.8240793762368972,NA,mom
study4A,happy,7,0.624072651991495,0.34970150619730656,0.8571753042871699,NA,friendmom
study4A,sad,7,0.36999318697346617,0.1317772374235082,0.6367405566488323,NA,friendmom
study4A,happy,7,0.4311240739847045,0.17682751083161488,0.7157186792237165,NA,mom
study4A,sad,7,0.9237457664905738,0.7623066186907513,0.9997624385438885,NA,mom
study4A,happy,8,0.4059803479674647,0.11444421887544509,0.711932787068191,NA,friendmom
study4A,sad,8,0.40331540607798233,0.11967846032763843,0.7151784786148451,NA,friendmom
study4A,happy,8,0.5981305045429104,0.2861901706168633,0.8784527008742894,NA,mom
study4A,sad,8,0.6922336047473183,0.3838949488743873,0.947863924272772,NA,mom
study4A,happy,9,0.22596510881959417,1.5782417660891224e-4,0.5603659186674412,NA,friendmom
study4A,sad,9,0.2234380389623168,0.002774498014245303,0.5562888754155364,NA,friendmom
study4A,happy,9,0.6394185036612079,0.28117632027282413,0.9464574679119071,NA,mom
study4A,sad,9,0.9999999999999998,0.9999999953030038,0.9999999999999998,NA,mom
study4B,happy,6,0.35890827870717995,0.1578258637896175,0.5604729843152118,NA,friendmom
study4B,sad,6,0.46367698207745967,0.2504501828463593,0.6785725214955464,NA,friendmom
study4B,happy,6,0.31762626273973593,0.13128223941553782,0.5127951517873006,NA,mom
study4B,sad,6,0.45899807142896876,0.25064620979726937,0.6746534430211237,NA,mom
study4B,happy,7,0.1702963637668436,0.024890941297518697,0.3620409359553296,NA,friendmom
study4B,sad,7,0.2736865211679579,0.07340671614733603,0.49544622122867227,NA,friendmom
study4B,happy,7,0.2228591764148958,0.05964840498740643,0.4479497883719534,NA,mom
study4B,sad,7,0.22229040508468842,0.0419999827914518,0.43239542076147264,NA,mom
study4B,happy,8,0.43120568006745413,0.22057176596969644,0.6376388347863688,NA,friendmom
study4B,sad,8,0.3426650860350749,0.16340562824019672,0.5546762326565041,NA,friendmom
study4B,happy,8,0.3891319389363195,0.1831118693389411,0.5903539290899459,NA,mom
study4B,sad,8,0.6594360793350853,0.4533924517750181,0.8483781699583818,NA,mom
study4B,happy,9,0.6396351819304362,0.3900257072577954,0.8535344199660655,NA,friendmom
study4B,sad,9,0.23734975669447989,0.0632316769599492,0.4522568548270536,NA,friendmom
study4B,happy,9,0.5831335302954952,0.32615886405584227,0.808580741904458,NA,mom
study4B,sad,9,0.6030211202201687,0.3636158907947254,0.8317982709682453,NA,mom
